Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2021,Jawa Timur,Kab. Trenggalek,"107,293.65","22,658.77",21.12,"55,115.00",51.37,"77,773.77",72.49,"9,500.52",,8.85,P 2
2021,Jawa Timur,Kab. Blitar,"149,623.83","57,121.29",38.18,"54,977.76",36.74,"112,099.05",74.92,"3,378.07",366.46,2.5,P 2
2021,Jawa Timur,Kab. Kediri,"194,845.76","12,414.79",6.37,"37,157.00",19.07,"49,571.79",25.44,"11,320.15",657,6.15,P 2
2021,Jawa Timur,Kab. Malang,"350,614.62","29,507.30",8.42,"120,077.70",34.25,"149,585.00",42.66,"28,051.95",,8,P 1
2021,Jawa Timur,Kab. Lumajang,"183,048.96","35,446.50",19.36,"63,897.90",34.91,"99,344.40",54.27,"18,729.95",278.4,10.38,P 2
2021,Jawa Timur,Kab. Banyuwangi,"457,297.22","75,857.42",16.59,"169,598.11",37.09,"245,455.54",53.68,"26,290.93","64,091.21",19.76,P 2
2021,Jawa Timur,Kab. Situbondo,"93,865.59","15,833.63",16.87,"58,546.00",62.37,"74,379.63",79.24,"4,335.74","9,271.00",14.5,P 2
2021,Jawa Timur,Kab. Sidoarjo,"406,847.51","20,802.70",5.11,"224,570.26",55.2,"245,372.96",60.31,"17,371.76",,4.27,P 2
2021,Jawa Timur,Kab. Jombang,"193,583.44","25,511.81",13.18,"45,205.25",23.35,"70,717.06",36.53,"25,254.04",584,13.35,P 2
2021,Jawa Timur,Kab. Nganjuk,"162,013.72","36,411.35",22.47,"45,150.50",27.87,"81,561.85",50.34,"32,639.42","20,980.74",33.1,P 2
2021,Jawa Timur,Kab. Magetan,"97,938.55","3,002.76",3.07,"13,505.87",13.79,"16,508.63",16.86,53.58,0.87,0.06,P 2
2021,Jawa Timur,Kab. Ngawi,"130,204.03","28,368.44",21.79,"28,137.56",21.61,"56,506.00",43.4,"9,536.46","2,204.31",9.02,P 2
2021,Jawa Timur,Kab. Bojonegoro,"195,823.81","10,443.77",5.33,"34,576.82",17.66,"45,020.59",22.99,"2,287.97",467.57,1.41,P 2
2021,Jawa Timur,Kab. Tuban,"183,655.24","47,069.62",25.63,"50,273.28",27.37,"97,342.90",53,"22,523.29",998.28,12.81,P 2
2021,Jawa Timur,Kab. Lamongan,"81,008.10","10,403.74",12.84,"23,725.00",29.29,"34,128.74",42.13,"9,959.32",,12.29,P 2
2021,Jawa Timur,Kab. Pamekasan,"100,957.25","37,636.40",37.28,"13,010.78",12.89,"50,647.18",50.17,"27,625.83",43.64,27.41,P 2
2021,Jawa Timur,Kab. Sumenep,"134,116.61","9,721.87",7.25,"9,988.15",7.45,"19,710.02",14.7,"6,409.10",339.01,5.03,P 2
2021,Jawa Timur,Kota Kediri,"61,812.13","8,394.50",13.58,"50,309.05",81.39,"58,703.55",94.97,"2,681.08",669.05,5.42,P 2
2021,Jawa Timur,Kota Blitar,"27,442.53","3,334.65",12.15,"23,473.01",85.54,"26,807.66",97.69,"3,210.32","1,863.55",18.49,P 2
2021,Jawa Timur,Kota Malang,"247,388.97","59,667.99",24.12,"182,908.98",73.94,"242,576.97",98.05,"59,577.48","5,591.99",26.34,P 2
2021,Jawa Timur,Kota Probolinggo,"35,247.76","4,279.68",12.14,"25,578.84",72.57,"29,858.52",84.71,"2,993.10",28.47,8.57,P 2
2021,Jawa Timur,Kota Pasuruan,"49,349.42","12,990.01",26.32,"35,718.90",72.38,"48,708.91",98.7,"12,990.01",,26.32,P 2
2021,Jawa Timur,Kota Mojokerto,"24,168.48","4,788.91",19.81,"17,520.00",72.49,"22,308.91",92.31,"2,742.31",,11.35,P 1
2021,Jawa Timur,Kota Madiun,"43,695.25","10,990.51",25.15,"31,815.15",72.81,"42,805.66",97.96,"4,497.94",315.65,11.02,P 2
2021,Jawa Timur,Kota Batu,"41,762.47","4,861.76",11.64,"35,770.00",85.65,"40,631.76",97.29,"4,768.52",,11.42,P 2
2021,Banten,Kab. Serang,"424,801.97",62.88,0.01,"35,558.30",8.37,"35,621.18",8.39,62.88,,0.01,P 2
2021,Banten,Kota Serang,"209,672.00","6,696.96",3.19,"106,919.99",50.99,"113,616.95",54.19,75.17,,0.04,P 2
2021,Banten,Kota Tangerang Selatan,"291,659.27","71,294.40",24.44,"184,036.20",63.1,"255,330.59",87.54,"51,040.73","1,893.90",18.15,P 2
2021,Bali,Kab. Jembrana,"59,395.72","12,312.17",20.73,"18,720.85",31.52,"31,033.02",52.25,"11,312.64",,19.05,P 2
2021,Bali,Kab. Tabanan,"84,247.48","10,719.01",12.72,"36,226.62",43,"46,945.63",55.72,"7,434.01","2,982.42",12.36,P 2
2021,Bali,Kab. Badung,"116,731.24","13,260.89",11.36,"94,827.50",81.24,"108,088.39",92.6,"12,597.68","1,369.25",11.97,P 2
2021,Bali,Kab. Gianyar,"141,337.13","20,501.18",14.51,"103,660.00",73.34,"124,161.18",87.85,"19,913.53",,14.09,P 2
2021,Bali,Kab. Bangli,"40,479.96","7,218.55",17.83,"21,741.71",53.71,"28,960.26",71.54,"3,551.24",492.02,9.99,P 2
2021,Bali,Kab. Buleleng,"123,771.50","27,766.98",22.43,"53,167.36",42.96,"80,934.33",65.39,"24,915.87","2,726.19",22.33,P 2
2021,Bali,Kota Denpasar,"349,519.44","41,708.19",11.93,"284,152.50",81.3,"325,860.69",93.23,,522.68,0.15,P 2
2021,Nusa Tenggara Barat,Kab. Lombok Timur,"176,454.72","11,026.19",6.25,"55,424.52",31.41,"66,450.71",37.66,"1,538.55",309.52,1.05,P 2
2021,Nusa Tenggara Barat,Kab. Lombok Utara,"29,107.83","4,497.25",15.45,"6,270.70",21.54,"10,767.95",36.99,740.4,,2.54,P 2
2021,Nusa Tenggara Barat,Kota Mataram,"96,354.09","9,515.74",9.88,"85,224.03",88.45,"94,739.77",98.32,"9,096.70",23.9,9.47,P 2
2021,Nusa Tenggara Timur,Kab. Alor,"42,533.30",0,0,"15,056.25",35.4,"15,056.25",35.4,,,0,P 2
2021,Nusa Tenggara Timur,Kab. Manggarai Barat,"29,995.84",536.86,1.79,"5,950.08",19.84,"6,486.94",21.63,536.86,110.08,2.16,P 2
2021,Nusa Tenggara Timur,Kab. Sumba Tengah,"9,490.37",597.69,6.3,"2,190.00",23.08,"2,787.69",29.37,111.33,,1.17,P 2
2021,Kalimantan Barat,Kab. Sambas,"101,244.25","3,672.06",3.63,"22,644.60",22.37,"26,316.66",25.99,"3,581.37",,3.54,P 2
2021,Kalimantan Barat,Kab. Mempawah,"30,015.96",39.08,0.13,"8,778.25",29.25,"8,817.33",29.38,1.08,,0,P 2
2021,Kalimantan Barat,Kab. Sanggau,"88,479.29",30.2,0.03,"16,443.25",18.58,"16,473.45",18.62,5.38,,0.01,P 2
