Time,Time Code,Provinces Name,Provinces Code,Household Access to safe Sanitation (in % of total Household) [HOU.STA.ACSN.ZS],Household Access to Safe Water (in % of total household) [HOU.H2O.ACSN.ZS]
2017,YR2017,"Berau, Kab.",ID.KI.BE,90.47771454,86.93067932
2017,YR2017,"Bontang, Kota",ID.KI.BO,94.13893127,99.34953308
2017,YR2017,"Kutai Barat, Kab.",ID.KI.KB,83.8763504,69.28747559
2017,YR2017,"Kutai Kartanegara, Kab.",ID.KI.KU,91.19300842,92.88173676
2017,YR2017,"Kutai Timur, Kab.",ID.KI.KT,91.90460205,85.75879669
2017,YR2017,"Mahakam Hulu, Kab.",ID.KI.MH,77.33514404,73.24970245
2017,YR2017,"Pasir, Kab.",ID.KI.PA,93.3639679,71.014328
2017,YR2017,"Penajam Paser Utara, Kab.",ID.KI.PP,91.94329834,87.47655487
2017,YR2017,"Samarinda, Kota",ID.KI.SA,92.30548096,97.96098328
2017,YR2017,"Bulungan, Kab.",ID.KI.BU,88.33564758,63.86642456
2017,YR2017,"Malinau, Kab.",ID.KI.MA,89.11229706,63.33108521
2017,YR2017,"Nunukan, Kab.",ID.KI.NU,79.54520416,66.66002655
2017,YR2017,"Tana Tidung, Kab.",ID.KU.TT,84.93746185,68.13759613
2017,YR2017,"Tarakan, Kota",ID.KI.TA,87.95617676,90.88139343
2017,YR2017,"Bangka Barat, Kab.",ID.BB.BB,83.67772675,77.33571625
2017,YR2017,"Bangka Selatan, Kab.",ID.BB.BS,75.44642639,71.79471588
2017,YR2017,"Bangka Tengah, Kab.",ID.BB.BG,84.66927338,78.2789917
2017,YR2017,"Bangka, Kab.",ID.BB.BA,91.24674225,81.70861053
2017,YR2017,"Belitung Timur, Kab.",ID.BB.BT,80.8377533,82.81335449
2017,YR2017,"Belitung, Kab.",ID.BB.BE,82.95205688,82.92818451
2017,YR2017,"Pangkal Pinang, Kota",ID.BB.PP,95.55376434,89.86095428
2017,YR2017,"Batam, Kota",ID.KR.BA,88.78993988,98.53135681
2017,YR2017,"Bintan, Kab.",ID.KR.BN,91.24110413,72.2115097
2017,YR2017,"Karimun, Kab.",ID.KR.KA,92.24273682,70.21162415
2017,YR2017,"Kepulauan Anambas, Kab.",ID.KR.KP,98.35375977,59.01774216
2017,YR2017,"Lingga, Kab.",ID.KR.LI,79.14453888,66.70262146
2017,YR2017,"Natuna, Kab.",ID.KR.NA,89.11338806,73.5748291
2017,YR2017,"Tanjung Pinang, Kota",ID.KR.TP,94.62142944,89.04139709
2017,YR2017,"Bandar Lampung, Kota",ID.LA.BL,90.17212677,87.5820694
2017,YR2017,"Lampung Barat, Kab.",ID.LA.LB,79.52770996,46.89506912
2017,YR2017,"Lampung Selatan, Kab.",ID.LA.LS,83.98749542,63.24575043
2017,YR2017,"Lampung Tengah, Kab.",ID.LA.LT,84.96310425,48.73605728
2017,YR2017,"Lampung Timur, Kab.",ID.LA.LI,91.92917633,58.54940414
2017,YR2017,"Lampung Utara, Kab.",ID.LA.LU,90.59976196,27.41058731
2017,YR2017,"Mesuji, Kab.",ID.LA.MS,92.07927704,66.72509766
2017,YR2017,"Metro, Kota",ID.LA.ME,90.72106171,77.66957092
2017,YR2017,"Pesawaran, Kab.",ID.LA.PS,74.76409912,57.63031387
2017,YR2017,"Pesisir Barat, Kab.",ID.LA.PB,59.01719284,40.22205734
2017,YR2017,"Pringsewu, Kab.",ID.LA.PI,79.13428497,72.82688904
2017,YR2017,"Tanggamus, Kab.",ID.LA.TA,71.10205841,46.3574028
2017,YR2017,"Tulang Bawang Barat, Kab.",ID.LA.TB,86.78912354,30.05953979
2017,YR2017,"Tulang Bawang, Kab.",ID.LA.TL,85.90633392,66.88972473
2017,YR2017,"Way Kanan, Kab.",ID.LA.WK,85.23094177,17.7903614
2017,YR2017,"Halmahera Barat, Kab.",ID.MU.HB,59.27939987,50.50074387
2017,YR2017,"Halmahera Selatan, Kab.",ID.MU.HS,42.08884048,52.57065964
2017,YR2017,"Halmahera Tengah, Kab.",ID.MU.HT,50.92386627,59.41830826
2017,YR2017,"Halmahera Timur, Kab.",ID.MU.HI,58.29579163,58.40122604
2017,YR2017,"Halmahera Utara, Kab.",ID.MU.HU,55.47796631,60.49296188
2017,YR2017,"Kepulauan Sula, Kab.",ID.MU.KS,66.10021973,65.96242523
2017,YR2017,"Kepulauan Tidore, Kota",ID.MU.TK,84.73719025,67.27590179
2017,YR2017,"Pulau Morotai, Kab.",ID.MU.PM,46.14584732,58.03505325
2017,YR2017,"Pulau Taliabu, Kab.",ID.MU.PT,52.94271851,43.97485352
2017,YR2017,"Ternate, Kota",ID.MU.TE,82.83024597,84.56335449
2017,YR2017,"Ambon, Kota",ID.MA.AM,72.87909698,81.88819885
2017,YR2017,"Buru Selatan, Kab.",ID.MA.BS,45.93374634,48.92399216
2017,YR2017,"Buru, Kab.",ID.MA.BU,65.10773468,60.1948967
2017,YR2017,"Kepulauan Aru, Kab.",ID.MA.KA,41.82947159,48.50934219
2017,YR2017,"Maluku Barat Daya, Kab.",ID.MA.MB,48.58772278,39.15262985
2017,YR2017,"Maluku Tengah, Kab.",ID.MA.MT,72.32830048,67.67071533
2017,YR2017,"Maluku Tenggara Barat, Kab.",ID.MA.MU,70.53353882,62.2686615
2017,YR2017,"Maluku Tenggara, Kab.",ID.MA.MG,70.04138184,54.89552689
2017,YR2017,"Seram Bagian Barat, Kab.",ID.MA.SB,51.97740173,53.48207474
2017,YR2017,"Seram Bagian Timur, Kab.",ID.MA.ST,48.06801224,47.25722504
2017,YR2017,"Tual, Kota",ID.MA.TA,76.64595032,71.55269623
2017,YR2017,"Aceh Barat Daya, Kab.",ID.AC.AD,53.02299118,54.08096313
2017,YR2017,"Aceh Barat, Kab.",ID.AC.AB,75.68618774,70.85502625
2017,YR2017,"Aceh Besar, Kab.",ID.AC.AR,78.00675964,77.42694855
2017,YR2017,"Aceh Jaya, Kab.",ID.AC.AJ,75.27527618,71.84684753
2017,YR2017,"Aceh Selatan, Kab.",ID.AC.AS,66.24615479,53.0383606
2017,YR2017,"Aceh Singkil, Kab.",ID.AC.AK,70.97783661,51.65862274
2017,YR2017,"Aceh Tamiang, Kab.",ID.AC.AM,87.98339844,75.33625031
2017,YR2017,"Aceh Tengah, Kab.",ID.AC.AT,79.66394043,52.36598206
2017,YR2017,"Aceh Tenggara, Kab.",ID.AC.AG,53.97781754,59.65398026
2017,YR2017,"Aceh Timur, Kab.",ID.AC.AI,63.4193306,52.70794678
2017,YR2017,"Aceh Utara, Kab.",ID.AC.AU,67.34615326,57.80493546
2017,YR2017,"Banda Aceh, Kota",ID.AC.BA,88.31752014,99.90149689
2017,YR2017,"Bener Meriah, Kab.",ID.AC.BM,89.64011383,62.87377548
2017,YR2017,"Bireuen, Kab.",ID.AC.BI,67.96782684,60.54568481
2017,YR2017,"Gayo Lues, Kab.",ID.AC.GL,52.75918198,67.40044403
2017,YR2017,"Langsa, Kota",ID.AC.LA,90.14264679,87.48065948
2017,YR2017,"Lhokseumawe, Kota",ID.AC.LH,86.79050446,92.54029083
2017,YR2017,"Nagan Raya, Kab.",ID.AC.NR,71.56986237,56.57082367
2017,YR2017,"Pidie Jaya, Kab.",ID.AC.PJ,58.68281174,62.11729813
2017,YR2017,"Pidie, Kab.",ID.AC.PI,46.79783249,58.73044586
2017,YR2017,"Sabang, Kota",ID.AC.SA,85.89395905,89.91368103
2017,YR2017,"Simeulue, Kab.",ID.AC.SI,72.03065491,73.28699493
2017,YR2017,"Subulussalam, Kota",ID.AC.SB,79.35096741,46.17137146
2017,YR2017,"Bima, Kab.",ID.NB.BI,51.43256378,70.28382111
2017,YR2017,"Bima, Kota",ID.NB.BM,74.89381409,79.76299286
2017,YR2017,"Dompu, Kab.",ID.NB.DO,66.12961578,78.3977356
2017,YR2017,"Lombok Barat, Kab.",ID.NB.LB,58.54753876,69.00626373
2017,YR2017,"Lombok Tengah, Kab.",ID.NB.LT,58.45460129,67.94184113
2017,YR2017,"Lombok Timur, Kab.",ID.NB.LI,59.98664093,64.45599365
2017,YR2017,"Lombok Utara, Kab.",ID.NB.LU,60.31947327,58.65069199
2017,YR2017,"Mataram, Kota",ID.NB.MA,74.90268707,87.82493591
2017,YR2017,"Sumbawa Barat, Kab.",ID.NB.SB,92.96569061,83.56798553
2017,YR2017,"Sumbawa, Kab.",ID.NB.SU,64.39491272,77.76898193
2017,YR2017,"Alor, Kab.",ID.NT.AL,68.47704315,44.51977921
2017,YR2017,"Belu, Kab.",ID.NT.BE,63.68309402,58.94321823
2017,YR2017,"Ende, Kab.",ID.NT.EN,64.98625946,80.48526764
2017,YR2017,"Flores Timur, Kab.",ID.NT.FT,77.99930573,81.84031677
2017,YR2017,"Kupang, Kab.",ID.NT.KR,81.7849884,70.50151062
2017,YR2017,"Kupang, Kota",ID.NT.KP,72.10437012,82.15735626
2017,YR2017,"Lembata, Kab.",ID.NT.LE,84.58921051,61.67355347
