Level,Provinces Name,Provinces Code,Time,Time Code,Household Access to Safe Water (in % of total household),Household Access to safe Sanitation (in % of total Household)
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2018,YR2018,57.32859421,62.37333298
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2019,YR2019,66.159729,65.89963531
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2020,YR2020,57.19386292,70.92801666
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2011,YR2011,53.67896,74.52684
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2012,YR2012,59.57,73.33
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2013,YR2013,59.42167664,78.06604004
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2014,YR2014,62.16446686,77.59888458
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2015,YR2015,56.32970428,83.63983917
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2016,YR2016,43.47511673,76.52006531
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2017,YR2017,57.21213913,84.4943924
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2018,YR2018,60.52299881,81.01953888
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2019,YR2019,46.31313324,85.99499512
"Bengkulu, Prop.","Mukomuko, Kab.",ID.BE.MU,2020,YR2020,67.74346924,84.09951019
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2011,YR2011,33.12245,64.70164
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2012,YR2012,30.57,66.32
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2013,YR2013,28.83890343,70.74995422
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2014,YR2014,31.52108192,71.88461304
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2015,YR2015,38.2313118,74.71124268
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2016,YR2016,35.15797806,75.83843231
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2017,YR2017,33.9614296,80.2177887
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2018,YR2018,40.3470192,76.80265808
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2019,YR2019,37.2220726,86.75642395
"Bengkulu, Prop.","Rejang Lebong, Kab.",ID.BE.RL,2020,YR2020,34.32336807,83.01990509
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2011,YR2011,29.61219,59.27523
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2012,YR2012,30.15,67.19
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2013,YR2013,27.54349327,69.67063904
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2014,YR2014,24.9958477,73.97874451
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2015,YR2015,18.56526566,73.02437592
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2016,YR2016,19.45312691,72.29134369
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2017,YR2017,17.72875786,76.81985474
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2018,YR2018,33.54421997,74.41079712
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2019,YR2019,27.61125183,78.30886841
"Bengkulu, Prop.","Seluma, Kab.",ID.BE.SE,2020,YR2020,27.77313805,82.7273941
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2011,YR2011,76.90414,69.7218
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2012,YR2012,73.03,70.31
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2013,YR2013,72.17515564,75.60986328
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2014,YR2014,67.21109772,74.76924896
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2015,YR2015,74.84973907,82.99552155
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2016,YR2016,73.69184875,80.01486969
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2017,YR2017,74.25447083,84.78145599
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2018,YR2018,76.43614197,80.35363007
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2019,YR2019,73.22173309,82.55416107
"DI Yogyakarta, Prop.","Bantul, Kab.",ID.YO.BA,2020,YR2020,81.36513519,76.73922729
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2011,YR2011,57.44712,80.1683
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2012,YR2012,55.47,82.7
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2013,YR2013,58.92780304,81.94808197
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2014,YR2014,61.66276932,86.25375366
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2015,YR2015,68.29006958,86.95955658
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2016,YR2016,66.00964355,88.12361908
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2017,YR2017,60.95801163,90.31021881
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2018,YR2018,70.07537842,87.58893585
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2019,YR2019,66.4475708,89.74303436
